Year,Production (Metric Tons),avg_yield,Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2011,34573.0,21.0,1611.0,3426,12/31/2011,-0.034091133,-0.353687996,-0.307199806,0.8631142461803019,86.495,11.696451612903225
2012,41992.0,15.0,2800.0,5612,1/31/2012,0.2803218885647252,-0.938826345,-0.413751253,-0.039665992,37.702,11.73967741935484
2012,41992.0,15.0,2800.0,5612,2/29/2012,0.3866725369850253,-0.542350164,-0.222368336,0.096398386,146.378,11.887931034482758
2012,41992.0,15.0,2800.0,5612,3/31/2012,0.8537989393934321,-0.437582605,0.1444651776129952,-0.998021821,64.46,12.08483870967742
2012,41992.0,15.0,2800.0,5612,4/30/2012,0.5303148335104304,0.3101059744346618,0.1883430006489007,0.6484589115743176,205.928,12.292
2012,41992.0,15.0,2800.0,5612,5/31/2012,0.6877519648907499,0.3206547480677386,0.2821334189434159,0.098626757,15.637,12.464193548387096
2012,41992.0,15.0,2800.0,5612,6/30/2012,0.265792778,0.4922670117360515,0.1444966087183217,0.4888621856239183,83.956,12.55
2012,41992.0,15.0,2800.0,5612,7/31/2012,0.2042170252509967,0.3981776147000828,0.098261453,0.4333727584342525,109.728,12.506774193548386
2012,41992.0,15.0,2800.0,5612,8/31/2012,0.2833968325369976,0.2664949371328131,0.039799597,0.311235704,78.027,12.356129032258066
2012,41992.0,15.0,2800.0,5612,9/30/2012,0.3754145309072338,0.2234148783695415,0.058752553,0.3319365345848232,49.041,12.158666666666669
2012,41992.0,15.0,2800.0,5612,10/31/2012,0.3694952637606099,0.08383832,0.015283335,0.7480856975806073,508.194,11.95483870967742
2012,41992.0,15.0,2800.0,5612,11/30/2012,0.191122889,0.053324753,-0.055248066,0.9015432594203484,320.706,11.782333333333334
2012,41992.0,15.0,2800.0,5612,12/31/2012,-0.074065404,-0.215633576,-0.260053148,1.1416384284638277,478.052,11.696451612903225
2013,37382.0,19.0,1926.0,4155,1/31/2013,-0.098664956,-0.557583755,-0.449582713,0.9173973814745384,283.957,11.741612903225809
2013,37382.0,19.0,1926.0,4155,2/28/2013,0.2744740040460304,-0.515105472,-0.234391896,0.5602180439687473,90.905,11.889285714285714
