Year,Production (Metric Tons),Average Yield (Metric Tons/Hectare),Extent (Hectares),Number of Farmers,datetime,tempmax,tempmin,temp,humidity,rainfall,sunshine_hours
2011,34573.0,21.0,1611.0,3426,2011-07-31,0.1665489615906665,0.2176449115836644,-0.0205481253515514,0.6479203884067165,57.675,12.509032258064517
2011,34573.0,21.0,1611.0,3426,2011-08-31,0.1327245778956752,0.3110971343733393,0.0096257357619651,0.5826513804934067,52.429,12.360322580645162
2012,41992.0,15.0,2800.0,5612,2012-05-31,0.6877519648907499,0.3206547480677386,0.2821334189434159,0.0986267574531207,15.637,12.464193548387096
2012,41992.0,15.0,2800.0,5612,2012-06-30,0.265792778295741,0.4922670117360515,0.1444966087183217,0.4888621856239183,83.956,12.55
2012,41992.0,15.0,2800.0,5612,2012-07-31,0.2042170252509967,0.3981776147000828,0.0982614527829217,0.4333727584342525,109.728,12.506774193548386
2012,41992.0,15.0,2800.0,5612,2012-08-31,0.2833968325369976,0.2664949371328131,0.0397995968754827,0.311235704022218,78.027,12.356129032258066
2013,37382.0,19.0,1926.0,4155,2013-05-31,0.3341334080794833,0.6403038282915149,0.2661035552268601,1.1829970077356298,167.337,12.462903225806452
2013,37382.0,19.0,1926.0,4155,2013-06-30,-0.1798434768857609,0.3660711124007511,-0.0532993371018483,1.2207367113211471,288.682,12.55
2013,37382.0,19.0,1926.0,4155,2013-07-31,-0.0786778201980165,0.1953438129634001,-0.1176702408106842,1.0317797022731088,109.849,12.507096774193547
2013,37382.0,19.0,1926.0,4155,2013-08-31,0.2242041610707635,0.1751666284974482,-0.0469502538258786,0.7577791145974351,105.48,12.356774193548388
2014,46137.0,19.0,2366.0,5452,2014-05-31,0.5732103019236223,0.5734005324307244,0.3189078121755156,0.8269254893174756,145.555,12.461935483870969
2014,46137.0,19.0,2366.0,5452,2014-06-30,0.19350597041425,0.6382153127064434,0.2507023136168352,0.7272556214577807,111.516,12.55
2014,46137.0,19.0,2366.0,5452,2014-07-31,0.1434868817986272,0.4863200521039808,0.1444651776129952,0.4585756426780084,72.54,12.508064516129032
2014,46137.0,19.0,2366.0,5452,2014-08-31,0.0812192663601215,0.2484416668211712,-0.0262057243103359,0.6259486431685728,121.0,12.358387096774194
2015,36040.0,20.0,1802.0,4634,2015-05-31,0.6969767968075656,0.8017213040191371,0.89126824017254,0.0139709155061552,161.817,12.46032258064516
2015,36040.0,20.0,1802.0,4634,2015-06-30,0.4961573308851091,0.7918451032015926,0.8596799793193276,-0.3425098805193757,113.214,12.549333333333331
2015,36040.0,20.0,1802.0,4634,2015-07-31,0.4094695354001453,0.7210125661553259,0.7592575978009037,-0.5372613988508016,57.172,12.509032258064517
2015,36040.0,20.0,1802.0,4634,2015-08-31,0.503255326554437,0.6318081716742724,0.7658581299194858,-0.4190017112455005,142.908,12.36
2016,27608.0,19.0,1446.0,3923,2016-05-31,0.5193987824088642,0.8495093724911301,0.7950890578732058,0.7532555199895832,596.8340000000001,12.464193548387096
2016,27608.0,19.0,1446.0,3923,2016-06-30,0.2920066756593595,0.9564484501606804,0.761269188541804,-0.1521957930889828,103.087,12.55
